year,prefecture_jp,population,male,female
2021,北海道,5183000,2446000,2737000
2021,青森県,1221000,575000,646000
2021,岩手県,1196000,577000,620000
2021,宮城県,2290000,1117000,1174000
2021,秋田県,945000,446000,499000
2021,山形県,1055000,511000,544000
2021,福島県,1812000,894000,918000
2021,茨城県,2852000,1423000,1428000
2021,栃木県,1921000,958000,963000
2021,群馬県,1927000,953000,974000
2021,埼玉県,7340000,3646000,3694000
2021,千葉県,6275000,3111000,3164000
2021,東京都,14010000,6875000,7135000
2021,神奈川県,9236000,4584000,4652000
2021,新潟県,2177000,1057000,1120000
2021,富山県,1025000,498000,527000
2021,石川県,1125000,546000,579000
2021,福井県,760000,371000,389000
2021,山梨県,805000,395000,410000
2021,長野県,2033000,994000,1040000
2021,岐阜県,1961000,952000,1009000
2021,静岡県,3608000,1778000,1829000
2021,愛知県,7517000,3746000,3771000
2021,三重県,1756000,857000,898000
2021,滋賀県,1411000,696000,715000
2021,京都府,2561000,1223000,1339000
2021,大阪府,8806000,4216000,4590000
2021,兵庫県,5432000,2582000,2850000
2021,奈良県,1315000,619000,696000
2021,和歌山県,914000,431000,483000
2021,鳥取県,549000,262000,286000
2021,島根県,665000,322000,343000
2021,岡山県,1876000,902000,974000
2021,広島県,2780000,1347000,1432000
2021,山口県,1328000,630000,697000
2021,徳島県,712000,340000,372000
2021,香川県,942000,455000,487000
2021,愛媛県,1321000,627000,694000
2021,高知県,684000,323000,361000
2021,福岡県,5124000,2425000,2698000
2021,佐賀県,806000,382000,424000
2021,長崎県,1297000,610000,687000
2021,熊本県,1728000,818000,910000
2021,大分県,1114000,529000,585000
2021,宮崎県,1061000,501000,560000
2021,鹿児島県,1576000,743000,833000
2021,沖縄県,1468000,723000,745000
2020,北海道,5224614,2465088,2759526
2020,青森県,1237984,583402,654582
2020,岩手県,1210534,582952,627582
2020,宮城県,2301996,1122598,1179398
2020,秋田県,959502,452439,507063
2020,山形県,1068027,516438,551589
2020,福島県,1833152,903864,929288
2020,茨城県,2867009,1430976,1436033
2020,栃木県,1933146,964930,968216
2020,群馬県,1939110,959411,979699
2020,埼玉県,7344765,3652169,3692596
2020,千葉県,6284480,3117987,3166493
2020,東京都,14047594,6898388,7149206
2020,神奈川県,9237337,4588268,4649069
2020,新潟県,2201272,1068670,1132602
2020,富山県,1034814,502637,532177
2020,石川県,1132526,549771,582755
2020,福井県,766863,373973,392890
2020,山梨県,809974,397309,412665
2020,長野県,2048011,1000389,1047622
2020,岐阜県,1978742,960436,1018306
2020,静岡県,3633202,1791118,1842084
2020,愛知県,7542415,3761502,3780913
2020,三重県,1770254,864475,905779
2020,滋賀県,1413610,697429,716181
2020,京都府,2578087,1231468,1346619
2020,大阪府,8837685,4235956,4601729
2020,兵庫県,5465002,2599756,2865246
2020,奈良県,1324473,623926,700547
2020,和歌山県,922584,435051,487533
2020,鳥取県,553407,264432,288975
2020,島根県,671126,324291,346835
2020,岡山県,1888432,908045,980387
2020,広島県,2799702,1357156,1442546
2020,山口県,1342059,636736,705323
2020,徳島県,719559,343265,376294
2020,香川県,950244,459197,491047
2020,愛媛県,1334841,633062,701779
2020,高知県,691527,326531,364996
2020,福岡県,5135214,2430951,2704263
2020,佐賀県,811442,384451,426991
2020,長崎県,1312317,616912,695405
2020,熊本県,1738301,822481,915820
2020,大分県,1123852,533414,590438
2020,宮崎県,1069576,504763,564813
2020,鹿児島県,1588256,748306,839950
2020,沖縄県,1467480,722812,744668
2019,北海道,5259000,2480000,2780000
2019,青森県,1253000,590000,663000
2019,岩手県,1226000,590000,636000
2019,宮城県,2312000,1128000,1184000
2019,秋田県,972000,458000,514000
2019,山形県,1080000,522000,558000
2019,福島県,1852000,914000,938000
2019,茨城県,2879000,1437000,1442000
2019,栃木県,1943000,970000,974000
2019,群馬県,1949000,964000,984000
2019,埼玉県,7342000,3657000,3685000
2019,千葉県,6283000,3120000,3162000
2019,東京都,14007000,6889000,7118000
2019,神奈川県,9224000,4589000,4635000
2019,新潟県,2224000,1079000,1145000
2019,富山県,1043000,506000,537000
2019,石川県,1139000,553000,586000
2019,福井県,771000,376000,396000
2019,山梨県,815000,400000,415000
2019,長野県,2061000,1007000,1054000
2019,岐阜県,1992000,967000,1025000
2019,静岡県,3653000,1802000,1851000
2019,愛知県,7557000,3777000,3780000
2019,三重県,1783000,871000,912000
2019,滋賀県,1416000,699000,717000
2019,京都府,2592000,1239000,1353000
2019,大阪府,8842000,4243000,4599000
2019,兵庫県,5488000,2614000,2874000
2019,奈良県,1333000,628000,705000
2019,和歌山県,931000,439000,492000
2019,鳥取県,557000,266000,291000
2019,島根県,677000,327000,350000
2019,岡山県,1897000,912000,985000
2019,広島県,2813000,1364000,1449000
2019,山口県,1357000,644000,713000
2019,徳島県,728000,347000,381000
2019,香川県,958000,463000,494000
2019,愛媛県,1346000,638000,708000
2019,高知県,699000,330000,369000
2019,福岡県,5134000,2431000,2703000
2019,佐賀県,817000,387000,430000
2019,長崎県,1327000,624000,703000
2019,熊本県,1749000,828000,922000
2019,大分県,1134000,538000,596000
2019,宮崎県,1077000,508000,569000
2019,鹿児島県,1602000,754000,848000
2019,沖縄県,1462000,719000,742000
2018,北海道,5293000,2495000,2798000
2018,青森県,1268000,597000,671000
2018,岩手県,1240000,597000,643000
2018,宮城県,2320000,1132000,1187000
2018,秋田県,985000,464000,522000
2018,山形県,1092000,527000,565000
2018,福島県,1869000,922000,946000
2018,茨城県,2892000,1443000,1449000
2018,栃木県,1953000,974000,979000
2018,群馬県,1957000,967000,990000
2018,埼玉県,7325000,3650000,3675000
2018,千葉県,6273000,3117000,3156000
2018,東京都,13887000,6835000,7053000
2018,神奈川県,9197000,4579000,4618000
2018,新潟県,2246000,1090000,1157000
2018,富山県,1050000,510000,541000
2018,石川県,1145000,555000,590000
2018,福井県,777000,378000,399000
2018,山梨県,821000,402000,418000
2018,長野県,2073000,1012000,1061000
2018,岐阜県,2001000,971000,1031000
2018,静岡県,3667000,1807000,1859000
2018,愛知県,7541000,3768000,3772000
2018,三重県,1793000,875000,918000
2018,滋賀県,1414000,698000,716000
2018,京都府,2598000,1241000,1356000
2018,大阪府,8838000,4245000,4594000
2018,兵庫県,5501000,2621000,2880000
2018,奈良県,1341000,632000,709000
2018,和歌山県,940000,443000,497000
2018,鳥取県,562000,268000,293000
2018,島根県,682000,329000,353000
2018,岡山県,1904000,914000,989000
2018,広島県,2824000,1369000,1455000
2018,山口県,1369000,649000,720000
2018,徳島県,736000,351000,385000
2018,香川県,963000,466000,498000
2018,愛媛県,1357000,642000,715000
2018,高知県,707000,333000,374000
2018,福岡県,5131000,2428000,2703000
2018,佐賀県,821000,388000,432000
2018,長崎県,1341000,630000,711000
2018,熊本県,1759000,831000,928000
2018,大分県,1143000,541000,602000
2018,宮崎県,1084000,511000,573000
2018,鹿児島県,1614000,759000,855000
2018,沖縄県,1454000,715000,739000
2017,北海道,5325000,2510000,2815000
2017,青森県,1282000,603000,679000
2017,岩手県,1254000,603000,651000
2017,宮城県,2326000,1136000,1190000
2017,秋田県,999000,470000,529000
2017,山形県,1103000,531000,571000
2017,福島県,1886000,931000,954000
2017,茨城県,2902000,1448000,1454000
2017,栃木県,1962000,977000,985000
2017,群馬県,1963000,970000,993000
2017,埼玉県,7307000,3643000,3664000
2017,千葉県,6258000,3111000,3147000
2017,東京都,13768000,6782000,6985000
2017,神奈川県,9173000,4571000,4602000
2017,新潟県,2267000,1099000,1168000
2017,富山県,1056000,512000,545000
2017,石川県,1148000,557000,592000
2017,福井県,780000,379000,401000
2017,山梨県,826000,404000,421000
2017,長野県,2082000,1016000,1067000
2017,岐阜県,2012000,975000,1037000
2017,静岡県,3681000,1813000,1868000
2017,愛知県,7528000,3763000,3765000
2017,三重県,1801000,877000,924000
2017,滋賀県,1414000,697000,717000
2017,京都府,2604000,1245000,1359000
2017,大阪府,8841000,4249000,4591000
2017,兵庫県,5515000,2629000,2886000
2017,奈良県,1349000,636000,713000
2017,和歌山県,948000,446000,502000
2017,鳥取県,566000,270000,296000
2017,島根県,687000,330000,356000
2017,岡山県,1911000,917000,994000
2017,広島県,2833000,1373000,1460000
2017,山口県,1382000,655000,728000
2017,徳島県,744000,354000,389000
2017,香川県,968000,468000,500000
2017,愛媛県,1368000,647000,721000
2017,高知県,714000,337000,378000
2017,福岡県,5123000,2423000,2700000
2017,佐賀県,825000,390000,435000
2017,長崎県,1355000,636000,719000
2017,熊本県,1767000,834000,933000
2017,大分県,1152000,545000,607000
2017,宮崎県,1091000,514000,577000
2017,鹿児島県,1626000,764000,862000
2017,沖縄県,1448000,712000,736000
