region_en,region_jp,prefecture_en,prefecture_jp,latitude,longitude
Hokkaido region,北海道地方,Hokkaido,北海道,43.064359,141.347449
Tohoku region,東北地方,Aomori,青森県,40.824294,140.740054
Tohoku region,東北地方,Iwate,岩手県,39.70353,141.152667
Tohoku region,東北地方,Miyagi,宮城県,38.268737,140.872183
Tohoku region,東北地方,Akita,秋田県,39.718175,140.103356
Tohoku region,東北地方,Yamagata,山形県,38.240127,140.362533
Tohoku region,東北地方,Fukushima,福島県,37.750146,140.466754
Kanto region,関東地方,Ibaragi,茨城県,36.341817,140.446796
Kanto region,関東地方,Tochigi,栃木県,36.56575,139.883526
Kanto region,関東地方,Gunma,群馬県,36.391205,139.060917
Kanto region,関東地方,Saitama,埼玉県,35.857771,139.647804
Kanto region,関東地方,Chiba,千葉県,35.604563,140.123179
Kanto region,関東地方,Tokyo,東京都,35.689185,139.691648
Kanto region,関東地方,Kanagawa,神奈川県,35.447505,139.642347
Chubu region,中部地方,Niigata,新潟県,37.901699,139.022728
Chubu region,中部地方,Toyama,富山県,36.695274,137.211302
Chubu region,中部地方,Ishikawa,石川県,36.594729,136.62555
Chubu region,中部地方,Fukui,福井県,36.06522,136.221641
Chubu region,中部地方,Yamanashi,山梨県,35.665102,138.568985
Chubu region,中部地方,Nagano,長野県,36.651282,138.180972
Chubu region,中部地方,Gifu,岐阜県,35.39116,136.722204
Chubu region,中部地方,Shizuoka,静岡県,34.976987,138.383057
Chubu region,中部地方,Aichi,愛知県,35.180247,136.906698
Kinki region,近畿地方,Mie,三重県,34.730547,136.50861
Kinki region,近畿地方,Shiga,滋賀県,35.004532,135.868588
Kinki region,近畿地方,Kyoto,京都府,35.0209962,135.7531135
Kinki region,近畿地方,Osaka,大阪府,34.686492,135.518992
Kinki region,近畿地方,Hyogo,兵庫県,34.69128,135.183087
Kinki region,近畿地方,Nara,奈良県,34.685296,135.832745
Kinki region,近畿地方,Wakayama,和歌山県,34.224806,135.16795
Chugoku region,中国地方,Tottori,鳥取県,35.503463,134.238258
Chugoku region,中国地方,Shimane,島根県,35.472248,133.05083
Chugoku region,中国地方,Okayama,岡山県,34.66132,133.934414
Chugoku region,中国地方,Hiroshima,広島県,34.396033,132.459595
Chugoku region,中国地方,Yamaguchi,山口県,34.185648,131.470755
Shikoku region,四国地方,Tokushima,徳島県,34.065732,134.559293
Shikoku region,四国地方,Kagawa,香川県,34.34014,134.04297
Shikoku region,四国地方,Ehime,愛媛県,33.841649,132.76585
Shikoku region,四国地方,Kochi,高知県,33.55969,133.530887
Kyushu region,九州地方,Fukuoka,福岡県,33.606767,130.418228
Kyushu region,九州地方,Saga,佐賀県,33.249367,130.298822
Kyushu region,九州地方,Nagasaki,長崎県,32.744542,129.873037
Kyushu region,九州地方,Kumamoto,熊本県,32.790385,130.742345
Kyushu region,九州地方,Oita,大分県,33.2382,131.612674
Kyushu region,九州地方,Miyazaki,宮崎県,31.91109,131.423855
Kyushu region,九州地方,Kagoshima,鹿児島県,31.560219,130.557906
Kyushu region,九州地方,Okinawa,沖縄県,26.211538,127.681115
